区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
土,07:00,7,19.5,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
土,07:30,7.5,19,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
土,08:00,8,18.5,27200,"休憩(サービスタイム1部) + 延長4本 + 宿泊1部",24800,"休憩(サービスタイム1部) + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
土,15:30,15.5,11.5,20800,"前延長5本 + 宿泊1部",18400,"休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",2400
土,16:00,16,10.5,19400,"前延長4本 + 宿泊1部",17000,"休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",2400
平日,00:00,0,3.5,13800,"宿泊2部(平日)",11600,"ショート + 延長4本",2200
平日,00:30,0.5,3.5,13800,"宿泊2部(平日)",11600,"ショート + 延長4本",2200
日祝,00:00,0,3.5,13800,"宿泊2部",11600,"ショート + 延長4本",2200
日祝,00:00,0,16,21600,"宿泊1部 + 休憩(サービスタイム2部)",19400,"宿泊2部 + 延長4本",2200
日祝,00:30,0.5,3.5,13800,"宿泊2部",11600,"ショート + 延長4本",2200
日祝,00:30,0.5,15.5,21600,"宿泊1部 + 休憩(サービスタイム2部)",19400,"宿泊2部 + 延長4本",2200
日祝,01:00,1,15,21600,"宿泊1部 + 休憩(サービスタイム2部)",19400,"宿泊2部 + 延長4本",2200
日祝,01:30,1.5,14.5,21600,"宿泊1部 + 休憩(サービスタイム2部)",19400,"宿泊2部 + 延長4本",2200
土,00:00,0,3.5,13800,"宿泊2部",11600,"ショート + 延長4本",2200
土,00:30,0.5,3.5,13800,"宿泊2部",11600,"ショート + 延長4本",2200
平日,15:30,15.5,21.5,23600,"前延長5本 + 宿泊1部(平日) + 延長 2本",21600,"休憩(サービスタイム3部) + 宿泊2部",2000
平日,16:00,16,21.5,23600,"前延長4本 + 宿泊1部(平日) + 延長 3本",21600,"休憩(サービスタイム3部) + 宿泊2部",2000
平日,16:30,16.5,21.5,23600,"前延長3本 + 宿泊1部(平日) + 延長 4本",21600,"休憩(サービスタイム3部) + 宿泊2部",2000
平日,16:30,16.5,22,25000,"前延長3本 + 宿泊1部(平日) + 延長 5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本",2000
日祝,15:30,15.5,21.5,23600,"前延長5本 + 宿泊1部 + 延長2本",21600,"休憩(サービスタイム3部) + 宿泊2部",2000
日祝,16:00,16,21.5,23600,"前延長4本 + 宿泊1部 + 延長3本",21600,"休憩(サービスタイム3部) + 宿泊2部",2000
日祝,16:30,16.5,21.5,23600,"前延長3本 + 宿泊1部 + 延長4本",21600,"休憩(サービスタイム3部) + 宿泊2部",2000
日祝,16:30,16.5,22,25000,"前延長3本 + 宿泊1部 + 延長5本",23000,"休憩(サービスタイム3部) + 宿泊2部 + 延長1本",2000
平日,10:00,10,16.5,21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本",1800
平日,10:30,10.5,16,21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本",1800
平日,11:00,11,15.5,21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本",1800
平日,11:30,11.5,15,21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本",1800
平日,12:00,12,14.5,21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本",1800
平日,12:30,12.5,14,21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本",1800
平日,13:00,13,13.5,21600,"休憩(5時間)(平日) + 宿泊1部(平日)",19800,"前延長2本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",1800
平日,13:30,13.5,13.5,21600,"休憩(5時間)(平日) + 宿泊1部(平日)",19800,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",1800
平日,14:00,14,13.5,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本",1800
平日,14:30,14.5,13,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本",1800
平日,15:00,15,12.5,21600,"休憩(サービスタイム3部)(平日)+ 宿泊2部(平日)",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本",1800
平日,20:00,20,6.5,13800,"宿泊1部(平日)",12000,"前延長2本 + 休憩(M時間) + 延長1本",1800
平日,20:30,20.5,6.5,13800,"宿泊1部(平日)",12000,"前延長1本 + 休憩(M時間) + 延長2本",1800
平日,21:00,21,6.5,13800,"宿泊1部(平日)",12000,"休憩(M時間) + 延長3本",1800
平日,21:30,21.5,6,13800,"宿泊1部(平日)",12000,"休憩(M時間) + 延長3本",1800
平日,22:00,22,5.5,13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本",1800
平日,22:30,22.5,5,13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本",1800
平日,23:00,23,4.5,13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本",1800
平日,23:30,23.5,4,13800,"宿泊2部(平日)",12000,"休憩(M時間) + 延長3本",1800
日祝,13:00,13,13.5,21600,"休憩(サービスタイム2部) + 宿泊1部",19800,"前延長2本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長1本",1800
日祝,13:30,13.5,13.5,21600,"休憩(サービスタイム2部) + 宿泊1部",19800,"前延長1本 + 休憩(サービスタイム3部) + 休憩(M時間) + 延長2本",1800
日祝,14:00,14,13.5,21600,"休憩(サービスタイム3部) + 宿泊2部",19800,"休憩(サービスタイム3部) + 休憩(M時間) + 延長3本",1800
